,Last Name,First Name,Affiliation,Author ID,ORCID,Research Areas,Warning
0,Aartsma,Pieter,,,,,no authors found with criteria
1,Abu,Ozotu,,,,,no authors found with criteria
2,Adam,Trudy Jean,,,,,no authors found with criteria
3,Adams,Leona,,,,,no authors found with criteria
4,Adeshina,Adetokunbo,,,,,no authors found with criteria
5,Afridi,Qasim,,,,,no authors found with criteria
6,Agafonov,Marina,,,,,no authors found with criteria
7,Agbahovbe,Onome,,,,,no authors found with criteria
8,Agboji,Hezekiah,,,,,no authors found with criteria
9,Agranovich,Eugene,,,,,no authors found with criteria
10,Ainsworth,Nick,,,,,no authors found with criteria
11,Ainsworth,Geoffrey,,,,,no authors found with criteria
12,Allen,Katie,BC​ Children​'​​s Hospital,57858657800,,MEDI (1); PSYC (1),
13,Allibhai,Fatima,,,,,no authors found with criteria
14,Almas,Naveed,,,,,no authors found with criteria
15,Amarjothi Nagendran,Sreedharan,,,,,no authors found with criteria
16,Anderson,Cameron M.,The University of British Columbia,55453388200,,NEUR (3); MEDI (1),
17,Argouarch,Sylvie,,,,,no authors found with criteria
18,Armstrong,Kimberly,,,,,no authors found with criteria
19,Austin,Jehannine C.,"University of British Columbia, Faculty of Medicine",7402093250,0000-0003-0338-7055,MEDI (264); BIOC (47); NEUR (37),
20,Awe,Ayodeji,,,,,no authors found with criteria
21,Aydin,Cristina M.,The University of British Columbia,15130612300,,MEDI (4); BIOC (1),
22,Azarbar,Ataa,The University of British Columbia,57193737040,,MEDI (2); PSYC (1); NEUR (1),
23,Azim,Hassan F.A.,The University of British Columbia,6701805069,,MEDI (35); PSYC (25); SOCI (2),
24,Baer,Susan,The University of British Columbia,7005865403,,PHYS (23); MEDI (15); CHEM (12),
25,Bailey,Anthony J.,"University of British Columbia, Faculty of Medicine",7402596134,,MEDI (129); NEUR (62); PSYC (53),
26,Bains,Ramnique,,,,,no authors found with criteria
27,Ballance,Dina,,,,,no authors found with criteria
28,Banno,Brian,British Columbia Cancer Agency,25227722500,,BIOC (2); PHAR (2); AGRI (1),
29,Barale,Anthony,,,,,no authors found with criteria
30,Barley,Jennifer,,,,,no authors found with criteria
31,Bates,Alan Thomas,"University of British Columbia, Faculty of Medicine",7102492953,,MEDI (51); NEUR (21); PSYC (18),
32,Batke,Adrienne,,,,,no authors found with criteria
33,Bayat,Negar,,,,,no authors found with criteria
34,Beasley,Clare Louise,The University of British Columbia,7102979717,0000-0001-5919-7838,MEDI (52); NEUR (49); BIOC (18),
35,Beauchemin,Lyne,,,,,no authors found with criteria
36,Beaumont,Charl,,,,,no authors found with criteria
37,Benning,Tony B.,"University of British Columbia, Faculty of Medicine",57212434003,,MEDI (22); PSYC (8); SOCI (5),
38,Bergen,Dorothea,,,,,no authors found with criteria
39,Bhalla,Rishi K.,Vancouver General Hospital,8743293100,,MEDI (27); PSYC (6); NEUR (6),
40,Bhatia,Niti,,,,,no authors found with criteria
41,Bilsker,Dan,"University of British Columbia, Faculty of Medicine",57203574310,,MEDI (28); PSYC (3); NURS (2),
42,Biradar,Apparao,,,,,no authors found with criteria
43,Birkholz,Kristina,,,,,no authors found with criteria
44,Birlik,Muzumel,,,,,no authors found with criteria
45,Birmingham,Carl Laird,The University of British Columbia,7005293592,0000-0003-4331-2664,MEDI (205); PSYC (77); AGRI (29),
46,Black,Tyler R.,"University of British Columbia, Faculty of Medicine",56603764900,,MEDI (24); PSYC (1); MULT (1),
47,Blackburn,Paul,The University of British Columbia,57193806244,,MEDI (3),
48,Blashko,Christopher,,,,,no authors found with criteria
49,Blignaut,Johann,,,,,no authors found with criteria
50,Bond,David J.,The University of British Columbia,14055349400,0000-0002-8713-7311,MEDI (149); NEUR (45); PSYC (27),
51,Borowska,Anna,,,,,no authors found with criteria
52,Bosc,Anastasia,,,,,no authors found with criteria
53,Bosley,Laurence,,,,,no authors found with criteria
54,Bossé-Chartier,Gabrielle,"University of British Columbia, Faculty of Medicine",57221873401,,MEDI (8); PSYC (2); ARTS (1),
55,Bota,Melissa,,,,,no authors found with criteria
56,Boudreau,Ainsley M.,BC​ Children​'​​s Hospital,35387416500,,MEDI (5); PSYC (5),
57,Boulding,Rachel,,,,,no authors found with criteria
58,Bourque,Marie Claire,,,,,no authors found with criteria
59,Bow,Simon,,,,,no authors found with criteria
60,Bozorg,Shaghayegh,,,,,no authors found with criteria
61,Breitman,Deanne,,,,,no authors found with criteria
62,Brennan,Naomi,,,,,no authors found with criteria
63,Brink,Justinus,,,,,no authors found with criteria
64,Broadway,Lauren,,,,,no authors found with criteria
65,Bronkhorst,Aletta,The University of British Columbia,56270019700,,MEDI (4),
66,Brost,Philip,,,,,no authors found with criteria
67,Broster,Brett S.,The University of British Columbia,6603832176,,NEUR (5); PSYC (3),
68,Brown,Craig E.,The University of British Columbia,7408311558,,NEUR (28); MEDI (27); BIOC (14),
69,Burns,Kyle D.,The University of British Columbia,55392034400,,PHAR (1); MEDI (1),
70,Burns,Amy M.N.,The University of British Columbia,56221914700,,MEDI (10); NEUR (4); NURS (1),
71,Burrell,Erin,"University of British Columbia, Faculty of Medicine",57201586576,,MEDI (9); ENVI (2); NURS (2),
72,Burton,Hannah,"University of British Columbia, Faculty of Medicine",57241027600,,MEDI (2),
73,Butterfield,Michael,"University of British Columbia, Faculty of Medicine",57201589127,,MEDI (10); BIOC (2); NEUR (2),
74,Calhoun,Laura,,,,,no authors found with criteria
75,Cameron,Kristjana,"University of British Columbia, Faculty of Medicine",55644251500,,MEDI (2); PSYC (1); NURS (1),
76,Campbell,Diane Paula,,,,,no authors found with criteria
77,Campbell,Helen,The University of British Columbia,57196812991,,MEDI (5),
78,Carlson,Marie,"GF Strong Rehabilitation Centre, British Columbia",57193092175,,MEDI (3); HEAL (1),
79,Carrion,Prescilla B.,"University of British Columbia, Faculty of Medicine",55760664000,,MEDI (23); BIOC (4); PSYC (3),
80,Carter,Arthur,,,,,no authors found with criteria
81,Caruncho,Hector,,,,,no authors found with criteria
82,Casagrande,Magdalena,,,,,no authors found with criteria
83,Casey,Janel,,,,,no authors found with criteria
84,Catchpole,Rosalind E.H.,The University of British Columbia,57210221841,,PSYC (6); MEDI (6); SOCI (1),
85,Catton,Kristen,,,,,no authors found with criteria
